                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.90294,                0.73307,                 1.5553,                0.99537,                0.94118,                0.97536,                0.73786,                0.88831,                 0.5656,                  1.651,               0.008515,               0.008515,               0.008515
                     62,                0.86342,                 0.6599,                  1.491,                 0.9947,                0.94118,                0.99222,                 0.7747,                0.81253,                0.50718,                 1.5347,              0.0084903,              0.0084903,              0.0084903
                     63,                0.85158,                0.63329,                 1.4515,                0.94395,                0.99108,                0.99222,                0.77392,                0.79843,                0.57057,                 1.5028,              0.0084655,              0.0084655,              0.0084655
                     64,                0.89198,                0.70382,                 1.5334,                      1,                0.99963,                  0.995,                0.73496,                0.88174,                0.53641,                 1.5936,              0.0084408,              0.0084408,              0.0084408
                     65,                0.84406,                0.65197,                 1.4967,                      1,                0.99383,                  0.995,                0.77392,                0.92183,                0.60672,                  1.652,               0.008416,               0.008416,               0.008416
                     66,                0.85821,                0.66676,                 1.4809,                0.97262,                0.94118,                0.98974,                0.79569,                 0.7861,                0.67828,                 1.5037,              0.0083913,              0.0083913,              0.0083913
                     67,                  0.821,                0.62814,                 1.4655,                0.93983,                0.94118,                0.96235,                0.76398,                0.86627,                0.76943,                 1.6026,              0.0083665,              0.0083665,              0.0083665
                     68,                0.86235,                0.67596,                 1.4979,                0.99232,                0.94118,                0.98974,                0.79274,                 0.7641,                0.48714,                 1.4717,              0.0083418,              0.0083418,              0.0083418
                     69,                0.83832,                0.66929,                 1.4519,                0.99892,                      1,                  0.995,                0.79165,                0.79498,                0.56755,                 1.5438,               0.008317,               0.008317,               0.008317
                     70,                0.88654,                0.68173,                 1.4662,                0.81649,                0.64706,                 0.7543,                0.48173,                 1.2752,                 6.4934,                 2.1093,              0.0082922,              0.0082922,              0.0082922
                     71,                0.81682,                0.61548,                 1.4564,                0.99224,                0.94118,                0.99222,                0.77184,                0.78935,                0.54601,                 1.5383,              0.0082675,              0.0082675,              0.0082675
